133013	sef centrala telefonica
133014	sef centru control calitate emisie radiofonica
133015	sef centru control calitate emisie televiziune
133016	sef centru control local comunicatii
133017	sef centru dirijare zbor
133018	sef centru postal
133019	sef centru (sectie, sector) radiodifuziune
133020	sef centru (sectie, sector) telecomunicatii
133021	sef centru zonal interventii radiorelee
133022	sef centru zonal de interventii translatare TV
133023	sef formatie comunicatii
133024	sef formatie operationala telecomunicatii
133025	sef laborator masuratori telecomunicatii
133026	sef laborator radioteleviziune
133027	sef laborator telecomunicatii
133028	sef lot telecomunicatii
133029	sef retea telecomunicatii
133030	sef serviciu control zonal comunicatii
133031	sef serviciu exploatare postala
133032	sef serviciu informare zbor
133033	sef serviciu navigatie
133034	sef serviciu radiotelecomunicatii
133035	sef statie comunicatii prin satelit
133036	sef statie radiorelee
133037	sef statie televiziune
133038	sef studio
133039	telefonist-sef
133040	telegrafist-sef
133041	sef oficiu zonal posta
133042	sef oficiu special posta
133043	diriginte oficiu telecomunicatii
133044	sef turn telecomunicatii
133045	sef statie radiotelegrafie (RTG)
133046	sef Centru National de Telecomunicatii
133047	conducator intreprindere mica
133048	prin
134201	asistent medical sef
134202	biochimist sef sectie, laborator
134203	biolog sef sectie, laborator
134204	chimist sef sectie, laborator
134205	farmacist sef sectie, laborator
134206	farmacist-sef
134207	laborant medical sef
134208	medic-sef (policlinica, statie de salvare
134209	medic sef sectie, laborator
134210	moasa-sefa
134211	oficiant medical sef
134212	psiholog sef sectie, laborator
134213	sora medicala sefa
134214	tehnician sanitar sef
134401	sef serviciu de reintegrare sociala si
134402	conducator de intreprindere mica
134501	conducator tabara scolara
134502	director unitate de invatamant
134503	secretar stiintific invatamant, cercetare
134504	sef lectorat
134505	sef catedra
134506	conducator de intreprindere mica
134507	director palate si cluburi ale elevilor
134508	director club sportiv scolar
134601	sef serviciu/sef birou asigurari
134602	sef serviciu/sef birou daune
134901	sef expozitii si targuri
134902	sef vama
134903	inginer-sef intreprinderi de reparatii obiecte
134904	sef atelier reparatii obiecte de uz casnic
134905	sef centru reparatii
134906	sef centru dezinfectie, deratizare si
134907	coordonator presa
134908	librar-sef
134909	conducator intreprindere mica
134910	redactor-sef presa, editura
134911	secretar general agentie presa, editura
134912	secretar general redactie
134913	sef birou exploatare, coordonare presa
134914	sef birou redactie
134915	sef birou relatii unitati presa
134916	sef oficiu juridic
134917	sef oficiu, serviciu, sectie, redactie
134918	producator executiv TV
134919	manager servicii private de Securitate
134920	prin ORD
134921	manager cultural
141101	conducator intreprindere mica
141102	sef compiex hotelier
141103	sef unitate balneoclimaterica
141104	administrator hotel
141105	director de hotel
141106	director de motel
141107	director de hotel pentru tineret
141108	director de camping
141109	director de sat de vacanta
141110	director de popas turistic
141111	director restaurant
141112	d irector rotiserie
141113	director crama
141114	director braserie
141115	director berarie
141116	director gradina de vara
141117	director bar
141118	director cafenea
141119	director disco-bar
141120	director unitati tip fast-food
141121	director cofetarie, patiserie
141122	director de club (hotelier)
141123	director de cazare
141201	sef restaurant
141202	director de departament alimentatie
141203	director de departament catering
142001	presedinte cooperativa de consum
142002	sef baza receptie
142003	sef serviciu comert cu ridicata si cu
142004	sef birou comert cu ridicata si cu amanuntul
142005	vicepresedinte cooperativa de consum
142006	sef statie PECO
142007	sef departament marfuri
142008	manager de zona
142009	inginer sef firme de afaceri si alte servicii
142010	sef agentie comerciala
142011	conducator intreprindere mica
143101	antrenor federatie sportiva
143102	comandant aeroclub
143103	consilier teritorial sef inspectoratul pentru
143104	director asezamant cultural
143105	manager al organizatiei culturale
143106	presedinte federatie sportiva
143107	presedinte complex, club sportiv
143108	secretar general federatie sport
143109	sef agentie concursuri hipice
143110	sef productie film
